Instances,,,CAmpactor,,,,CAmpactor-Short,,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,HHSA,,,,CASA,,,,ACTS,,,,CTLog,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,17,17.0,0.7420,,18,18.2,0.6300,,30,30.9,0.5240,,19,21.5,321.0540,,20,21.5,457.0330,,22,25.6,0.6300,,-,-,-,,33,41.7,735.1560,,-,-,-,,13,13,447.8920
XSEngine,,48,49.7,277.4590,,81,83.5,41.0800,,104,107.7,32.1020,,86,89.5,236.1800,,87,89.4,118.5870,,98,101.1,41.0800,,-,-,-,,-,-,-,,-,-,-,,-,-,-
aaed2000,,62,65.8,485.1290,,121,125.8,50.6760,,141,144.2,44.0540,,116,120.8,534.5150,,116,121.1,728.9980,,133,136.9,50.6760,,-,-,-,,-,-,-,,-,-,-,,-,-,-
adder,,48,49.4,196.0130,,89,91.6,38.3850,,104,108.0,32.6190,,90,91.8,83.0660,,90,92.2,459.8550,,98,102.1,38.3850,,-,-,-,,-,-,-,,-,-,-,,-,-,-
adderII,,47,49.2,304.2380,,82,86.1,42.5560,,105,108.5,34.6330,,86,91.1,327.6470,,86,91.5,418.4870,,97,101.6,42.5560,,-,-,-,,-,-,-,,-,-,-,,-,-,-
aeb,,44,46.4,243.9680,,83,86.1,34.5280,,103,104.8,29.1190,,83,87.0,563.1170,,82,86.7,486.5990,,95,98.7,34.5280,,-,-,-,,-,-,-,,-,-,-,,-,-,-
aim711,,47,49.1,217.3000,,83,89.0,40.6070,,106,110.3,33.1830,,90,92.8,260.2170,,89,92.4,367.2020,,99,104.3,40.6070,,-,-,-,,-,-,-,,-,-,-,,-,-,-
aki3068net,,47,48.5,235.3100,,81,84.2,37.5310,,106,108.7,29.9280,,83,88.8,283.1870,,82,89.4,144.7270,,95,101.8,37.5310,,-,-,-,,-,-,-,,-,-,-,,-,-,-
am31_sim,,43,44.6,218.5830,,75,78.2,32.0230,,97,99.5,26.0320,,78,80.4,878.3010,,78,80.8,119.6360,,90,93.7,32.0230,,-,-,-,,170,192.7,3455.2820,,-,-,-,,-,-,-
asb,,45,46.0,177.1670,,79,81.0,36.5730,,100,103.9,29.5710,,83,85.2,321.4040,,82,84.8,298.8540,,93,97.9,36.5730,,-,-,-,,-,-,-,,-,-,-,,-,-,-
asb2305,,44,45.8,247.5490,,77,80.2,37.8100,,101,102.6,29.8320,,79,83.6,46.6890,,80,84.2,304.1910,,92,96.5,37.8100,,-,-,-,,-,-,-,,-,-,-,,-,-,-
assabet,,44,46.3,264.5110,,82,87.5,37.3480,,100,105.2,31.5090,,86,89.1,443.9000,,88,89.0,529.2810,,94,101.0,37.3480,,-,-,-,,-,-,-,,-,-,-,,-,-,-
at91sam7sek,,44,45.5,241.3610,,78,81.1,40.9840,,101,104.2,32.4940,,84,86.1,57.5810,,83,86.1,420.5660,,92,97.7,40.9840,,-,-,-,,-,-,-,,-,-,-,,-,-,-
at91sam7xek,,46,49.0,312.2280,,90,93.1,41.7430,,108,109.4,35.3460,,84,92.9,599.2800,,86,92.9,165.5050,,98,103.5,41.7430,,-,-,-,,-,-,-,,-,-,-,,-,-,-
atlas_mips32_4kc,,47,49.6,207.9970,,87,89.4,36.0900,,107,109.6,30.3720,,86,90.3,337.9970,,87,90.8,148.2560,,99,103.4,36.0900,,-,-,-,,-,-,-,,-,-,-,,-,-,-
atlas_mips64_5kc,,48,50.2,174.7430,,82,86.3,35.8890,,104,107.3,29.3410,,85,88.9,388.1180,,84,88.6,211.7210,,97,100.6,35.8890,,-,-,-,,-,-,-,,-,-,-,,-,-,-
axtls,,27,27.1,0.2440,,27,28.1,0.0800,,33,33.9,0.0800,,30,31.9,227.5940,,30,31.6,445.0440,,31,33.3,0.0800,,-,-,-,,27,30.0,118.1690,,36,36.0,31.3188,,27,27.0,24.7020
brutus,,43,45.2,233.1280,,77,80.4,34.9260,,96,100.6,28.6690,,80,83.7,730.0690,,80,83.5,305.7210,,91,94.8,34.9260,,-,-,-,,-,-,-,,-,-,-,,-,-,-
