Instances,,,AutoCCAG,,,,Alt-A,,,,FastCA,,,,Alt-F,,,,TCA,,,,Alt-T,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,19,21.5,321.0540,,16,16.8,321.4000,,20,21.5,457.0330,,16,16.9,457.3690,,22,25.6,0.6300,,16,16.8,0.9960
XSEngine,,86,89.5,236.1800,,47,49.1,471.9230,,87,89.4,118.5870,,48,49.9,348.7160,,98,101.1,41.0800,,48,50.5,227.0120
aaed2000,,116,120.8,534.5150,,64,66.4,1022.6650,,116,121.1,728.9980,,67,68.0,1162.3520,,133,136.9,50.6760,,64,66.7,474.0710
adder,,90,91.8,83.0660,,47,49.3,273.9970,,90,92.2,459.8550,,47,48.7,698.0240,,98,102.1,38.3850,,48,49.4,272.2000
adderII,,86,91.1,327.6470,,48,49.9,558.0090,,86,91.5,418.4870,,46,49.4,640.2760,,97,101.6,42.5560,,47,49.0,268.7310
aeb,,83,87.0,563.1170,,45,46.4,780.3300,,82,86.7,486.5990,,45,46.4,683.8180,,95,98.7,34.5280,,44,46.5,216.8880
aim711,,90,92.8,260.2170,,47,48.8,514.6810,,89,92.4,367.2020,,46,48.5,648.7070,,99,104.3,40.6070,,47,48.8,282.7070
aki3068net,,83,88.8,283.1870,,46,49.3,496.2740,,82,89.4,144.7270,,46,49.5,334.2430,,95,101.8,37.5310,,47,48.7,250.3460
am31_sim,,78,80.4,878.3010,,43,45.1,1080.2610,,78,80.8,119.6360,,44,44.9,282.8460,,90,93.7,32.0230,,43,44.9,208.7430
asb,,83,85.2,321.4040,,44,45.4,540.3850,,82,84.8,298.8540,,43,45.1,478.0740,,93,97.9,36.5730,,44,45.9,207.9150
asb2305,,79,83.6,46.6890,,44,45.8,248.2330,,80,84.2,304.1910,,44,45.8,490.3260,,92,96.5,37.8100,,44,45.5,260.4710
assabet,,86,89.1,443.9000,,44,45.9,682.6600,,88,89.0,529.2810,,45,46.8,720.2740,,94,101.0,37.3480,,45,46.7,229.5840
at91sam7sek,,84,86.1,57.5810,,44,45.9,302.7620,,83,86.1,420.5660,,44,45.5,653.3360,,92,97.7,40.9840,,44,45.7,276.4520
at91sam7xek,,84,92.9,599.2800,,48,49.6,877.6820,,86,92.9,165.5050,,47,49.4,451.1540,,98,103.5,41.7430,,47,49.4,285.5200
atlas_mips32_4kc,,86,90.3,337.9970,,47,49.5,563.0280,,87,90.8,148.2560,,47,48.9,382.2870,,99,103.4,36.0900,,46,49.1,237.6060
atlas_mips64_5kc,,85,88.9,388.1180,,47,48.6,605.6820,,84,88.6,211.7210,,46,49.3,423.6780,,97,100.6,35.8890,,46,48.5,274.6620
axtls,,30,31.9,227.5940,,27,27.0,227.8860,,30,31.6,445.0440,,27,27.0,445.2640,,31,33.3,0.0800,,27,27.0,0.2440
brutus,,80,83.7,730.0690,,43,45.4,912.8210,,80,83.5,305.7210,,44,45.8,469.8940,,91,94.8,34.9260,,44,45.7,231.2950
buildroot,,15,15.0,6.8950,,15,15.0,6.8950,,15,15.4,1376.5990,,15,15.4,1376.5990,,15,15.0,20.9910,,15,15.0,20.9910
busybox_1_28_0,,45,47.4,637.5970,,24,24.9,685.5780,,42,46.7,19.1530,,24,24.9,57.3450,,53,55.6,14.1380,,24,24.6,61.7400
calm16_ceb,,81,83.9,635.6770,,45,46.0,796.8160,,81,84.5,383.6890,,43,45.1,562.0320,,93,97.0,33.0150,,43,45.0,229.7820
calm32_ceb,,81,84.5,868.9330,,42,45.1,1068.6950,,82,84.5,368.4420,,42,45.6,508.2520,,91,96.2,33.2020,,43,45.1,214.5650
ceb_v850,,80,82.9,464.8680,,42,44.7,667.2080,,78,82.7,105.0120,,44,45.6,258.3230,,89,95.9,33.4970,,42,44.5,236.4400
cerf,,89,93.7,309.2980,,48,50.6,527.8780,,88,94.0,189.8990,,49,50.8,395.4850,,99,104.8,42.7440,,48,49.4,283.4730
cerfpda,,89,93.5,351.0570,,46,50.1,592.1060,,90,93.6,146.4630,,47,49.3,419.7270,,100,105.0,42.6810,,47,49.7,322.4120
cma230,,79,82.4,338.7290,,43,45.4,534.1240,,81,83.2,509.9620,,43,44.8,722.8540,,88,94.3,36.3230,,43,45.7,214.8530
cma28x,,79,81.6,318.8260,,43,45.3,523.0820,,79,81.5,142.6230,,44,45.1,320.4980,,91,93.7,33.3400,,43,45.5,199.9090
cme555,,79,83.4,294.4320,,43,46.1,473.7700,,80,84.4,116.7490,,42,44.6,353.7080,,91,96.4,37.0770,,44,44.9,248.6110
cq7708,,100,103.1,667.5120,,54,56.3,1093.7270,,98,102.9,513.3470,,55,57.9,795.0100,,109,116.8,39.6000,,54,57.2,366.0550
cq7750,,84,87.9,377.0350,,46,47.3,568.4280,,85,88.1,341.2330,,46,47.0,573.6620,,92,99.2,37.7060,,46,47.5,235.6040
csb281,,89,94.4,404.7580,,49,51.8,682.6640,,89,94.6,503.6430,,51,52.9,755.7930,,102,107.0,38.3020,,51,52.8,298.1040
dreamcast,,89,95.2,54.6310,,50,51.7,351.0050,,89,95.6,391.4770,,50,52.2,645.4230,,102,107.7,40.1340,,49,51.7,306.3050
e7t,,88,91.1,468.7240,,48,49.5,692.0650,,88,91.0,215.5410,,47,49.2,447.7650,,99,103.7,39.1870,,48,49.5,237.6610
ea2468,,91,94.1,362.2450,,47,49.2,695.6280,,90,93.9,469.0140,,48,49.7,752.2760,,103,105.5,45.7930,,47,48.9,361.0350
eb40,,81,85.5,57.2900,,45,46.4,278.1000,,81,85.2,599.4510,,44,46.0,777.5130,,91,96.5,37.7550,,44,45.6,231.5740
eb40a,,81,85.1,498.8140,,44,46.1,698.5820,,81,85.0,630.3630,,44,46.0,833.8890,,94,97.2,37.0010,,44,45.8,218.7250
eb42,,83,85.7,547.0040,,44,46.0,774.6520,,83,85.4,401.4630,,43,45.0,601.9550,,93,96.0,35.3970,,43,45.4,237.2570
eb55,,83,87.2,360.5710,,45,46.1,582.8610,,84,87.3,263.9210,,45,46.5,501.1130,,93,96.5,39.4380,,43,45.9,253.6630
ebsa285,,95,96.8,345.1940,,52,54.1,544.7330,,95,96.8,190.3810,,51,54.0,410.6020,,105,108.3,39.1320,,52,53.4,280.4750
ec555,,81,85.3,1065.5190,,44,45.2,1277.4270,,82,85.2,345.8320,,44,46.2,534.1770,,91,96.8,37.9940,,44,45.8,233.9030
ecos-icse11,,88,91.9,589.8800,,47,48.6,786.2020,,89,92.4,352.3320,,47,49.7,544.7760,,99,102.0,39.5670,,46,49.6,224.6800
edb7xxx,,86,90.2,66.1870,,45,50.0,272.9070,,87,90.3,212.8920,,47,48.8,452.9630,,96,101.9,38.4640,,48,49.0,243.6630
edosk2674,,84,89.1,51.2310,,47,49.0,279.0040,,84,88.8,573.7290,,47,48.8,756.4670,,92,100.0,35.5210,,48,49.5,204.5410
excalibur_arm9,,100,103.6,157.1080,,55,57.4,510.9530,,100,104.0,543.1090,,57,58.9,805.8270,,110,116.2,42.4320,,55,57.1,351.6610
fads,,81,83.3,356.5930,,43,45.1,553.1280,,80,82.6,377.1080,,43,45.1,558.0140,,91,94.3,33.0710,,44,45.6,201.0740
flexanet,,89,93.2,476.7290,,48,49.7,736.2710,,90,93.0,304.2290,,48,49.5,577.7250,,101,104.8,41.6830,,47,49.3,278.7110
freebsd-icse11,,78,82.2,2639.1260,,49,53.0,3012.7720,,81,83.4,2076.5930,,51,53.1,2335.9370,,101,108.4,74.4790,,50,53.1,504.0330
frv400,,85,89.8,398.7490,,46,48.8,605.1810,,84,89.3,147.8500,,46,48.2,387.3140,,95,100.4,39.0230,,47,49.0,232.1130
gps4020,,82,84.9,350.6170,,43,46.2,526.0470,,81,84.7,149.3570,,44,45.9,350.7530,,91,97.3,33.9890,,44,46.2,203.1910
grg,,86,89.8,330.2100,,48,49.5,548.6410,,87,90.3,159.8790,,46,48.5,381.0130,,96,101.2,37.1720,,48,49.4,213.5900
h8300h_sim,,80,82.9,508.2230,,43,45.1,675.3270,,80,82.6,365.4450,,43,45.1,549.5380,,91,94.2,33.5180,,43,44.8,177.8060
h8max,,86,88.5,895.2590,,46,48.8,1115.4710,,85,88.8,103.8240,,47,48.7,331.9320,,96,100.9,36.6500,,47,48.8,257.3020
h8s_sim,,76,81.3,695.0520,,44,45.0,855.2940,,78,81.2,142.5870,,42,44.7,335.5790,,88,92.1,33.1690,,42,44.8,211.1860
hs7729pci,,112,119.1,266.7270,,63,65.1,654.8270,,112,119.0,763.1500,,63,64.8,1104.0410,,126,130.9,53.0570,,64,64.9,448.7100
