Instances,,,CAmpactor (delta=5),,,,CAmpactor (delta=10),,,,CAmpactor (delta=15),,,,CAmpactor (delta=20),,,,CAmpactor (delta=25),,,,CAmpactor (delta=30),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,14,14.9,0.8120,,17,17.0,0.7420,,20,20.0,0.7000,,23,23.9,0.6310,,18,19.5,0.8740,,20,20.0,0.7030
XSEngine,,47,49.3,334.4920,,48,49.7,277.4590,,49,51.0,226.0870,,48,51.7,217.3470,,53,54.1,185.7690,,54,55.9,188.3180
aaed2000,,66,68.0,415.1110,,62,65.8,485.1290,,65,67.4,403.6610,,67,70.0,366.3330,,69,72.3,329.6960,,70,72.6,334.6370
adder,,48,49.7,299.4740,,48,49.4,196.0130,,48,50.1,237.9340,,50,52.1,214.4960,,52,53.8,215.7740,,53,56.4,187.2140
adderII,,48,49.7,240.9700,,47,49.2,304.2380,,48,50.2,255.4920,,50,52.6,211.9690,,53,54.8,179.5440,,54,56.2,212.0110
aeb,,45,46.5,240.1640,,44,46.4,243.9680,,46,47.8,216.6060,,47,48.8,208.3000,,50,51.1,193.8610,,51,53.2,193.8530
aim711,,46,49.4,296.0340,,47,49.1,217.3000,,47,49.6,304.5340,,49,51.2,225.6270,,52,53.9,219.1690,,54,56.4,191.2750
aki3068net,,46,49.6,283.0590,,47,48.5,235.3100,,48,49.4,252.6560,,50,51.5,220.3970,,51,53.6,175.9430,,54,56.5,132.5290
am31_sim,,43,45.2,205.9700,,43,44.6,218.5830,,43,46.4,172.4090,,47,47.7,175.6670,,47,49.8,119.1790,,49,52.4,132.5340
asb,,43,45.8,255.8260,,45,46.0,177.1670,,45,46.5,177.6430,,46,47.6,204.3990,,48,50.1,178.2190,,51,52.9,163.9760
asb2305,,44,46.0,220.0320,,44,45.8,247.5490,,45,47.0,205.1960,,46,48.3,191.9310,,49,50.8,161.1650,,51,53.0,140.6510
assabet,,44,46.1,288.1880,,44,46.3,264.5110,,45,47.3,232.4920,,47,48.9,219.3250,,50,50.7,210.0340,,51,52.5,197.3690
at91sam7sek,,44,46.8,273.7420,,44,45.5,241.3610,,45,46.6,246.6710,,48,49.3,196.9440,,49,51.1,190.3610,,52,53.0,175.2810
at91sam7xek,,48,50.2,301.7700,,46,49.0,312.2280,,49,50.7,268.5620,,48,51.9,253.3260,,52,53.3,264.6950,,54,56.2,179.8630
atlas_mips32_4kc,,47,48.9,261.0550,,47,49.6,207.9970,,49,50.3,239.7210,,49,51.4,224.4580,,52,53.6,188.0690,,54,56.6,152.0060
atlas_mips64_5kc,,46,48.6,286.8140,,48,50.2,174.7430,,48,49.9,247.1240,,50,51.3,215.2820,,53,54.0,201.9840,,55,56.1,177.3520
axtls,,27,27.0,0.2020,,27,27.1,0.2440,,27,28.0,0.5200,,30,30.1,0.2330,,30,31.1,0.0800,,27,29.0,0.3840
brutus,,43,45.3,244.3640,,43,45.2,233.1280,,45,46.4,183.8110,,47,47.9,184.7560,,48,50.3,152.0940,,50,52.5,152.1260
