Instances,,,CAmpactor (gamma=100),,,,CAmpactor (gamma=1000),,,,CAmpactor (gamma=10000),,,,CAmpactor (gamma=100000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,19,20.8,0.5240,,17,17.5,0.6180,,17,17.0,0.7420,,16,16.0,3.2510
XSEngine,,67,76.1,46.2240,,55,57.9,96.5600,,48,49.7,277.4590,,44,45.6,1144.2550
aaed2000,,93,102.0,66.2610,,71,76.1,153.9760,,62,65.8,485.1290,,59,62.0,1998.9320
adder,,71,76.0,43.2810,,52,56.6,76.6280,,48,49.4,196.0130,,43,45.4,927.6340
adderII,,74,77.4,48.7640,,55,58.9,92.2120,,47,49.2,304.2380,,43,45.2,1349.5670
aeb,,68,72.5,42.0830,,52,54.0,84.5780,,44,46.4,243.9680,,41,42.7,887.4940
aim711,,73,79.2,43.6690,,53,57.3,83.9140,,47,49.1,217.3000,,43,45.0,953.1160
aki3068net,,70,75.5,42.7640,,52,56.4,86.3690,,47,48.5,235.3100,,43,45.6,999.5410
am31_sim,,61,68.4,37.2950,,49,53.4,68.3710,,43,44.6,218.5830,,40,41.3,1034.4320
asb,,67,71.5,40.0450,,50,53.3,74.8500,,45,46.0,177.1670,,40,41.8,847.3900
asb2305,,69,76.2,39.1570,,50,53.4,85.3310,,44,45.8,247.5490,,40,42.1,1017.5690
assabet,,66,73.0,45.2320,,50,53.1,94.7230,,44,46.3,264.5110,,40,42.1,1359.0260
at91sam7sek,,65,73.5,43.2920,,50,53.3,82.3430,,44,45.5,241.3610,,41,42.2,914.3210
at91sam7xek,,73,80.0,49.7760,,51,57.4,107.2870,,46,49.0,312.2280,,44,44.6,1559.3240
atlas_mips32_4kc,,67,78.0,41.9900,,54,58.4,73.2280,,47,49.6,207.9970,,44,45.9,836.9860
atlas_mips64_5kc,,68,74.6,39.0100,,56,59.4,61.5180,,48,50.2,174.7430,,43,45.3,851.3920
axtls,,28,30.3,0.0800,,27,28.0,0.1100,,27,27.1,0.2440,,27,27.0,0.3450
