Instances,,,CAmpactor (psi=0),,,,CAmpactor (psi=0.1),,,,CAmpactor (psi=0.2),,,,CAmpactor (psi=0.3),,,,CAmpactor (psi=0.4),,,,CAmpactor (psi=0.5),,,,CAmpactor (psi=0.6),,,,CAmpactor (psi=0.7),,,,CAmpactor (psi=0.8),,,,CAmpactor (psi=0.9),,,,CAmpactor (psi=1.0),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,23,27.7,0.5800,,17,17.0,0.7420,,16,16.9,0.7740,,16,16.7,0.9930,,16,16.8,0.7540,,17,17.0,0.6870,,16,16.9,0.8960,,17,17.0,0.6900,,17,17.0,0.7590,,17,17.0,0.7320,,16,16.9,0.9420
XSEngine,,97,102.2,35.2580,,48,49.7,277.4590,,46,48.2,337.9770,,47,48.5,366.8770,,47,47.9,469.6750,,45,47.7,495.7830,,44,47.2,627.3570,,45,47.1,707.8160,,45,48.0,576.4560,,46,47.2,964.3270,,45,46.9,1129.9020
aaed2000,,134,137.3,45.1570,,62,65.8,485.1290,,61,64.8,623.7600,,62,64.9,703.8080,,63,64.5,865.2220,,63,64.5,762.6870,,62,63.9,1037.1470,,60,63.2,1105.4440,,62,64.2,837.2050,,63,63.6,1456.4810,,63,64.2,1231.8330
adder,,99,102.5,34.1960,,48,49.4,196.0130,,47,49.2,284.8190,,47,48.1,489.8020,,45,47.5,518.8100,,46,47.6,642.6430,,47,48.5,496.0880,,47,48.4,574.6080,,46,47.3,568.9060,,47,48.0,438.0850,,45,46.4,628.7860
adderII,,93,101.8,36.0060,,47,49.2,304.2380,,46,48.5,361.5650,,46,48.7,392.6520,,46,48.2,405.8170,,46,47.8,586.5600,,46,47.8,595.9890,,46,47.4,753.0010,,44,47.2,654.1790,,45,47.1,924.5920,,46,47.7,733.8400
aeb,,93,99.5,32.4110,,44,46.4,243.9680,,44,45.2,309.4460,,44,45.2,326.1710,,44,45.0,465.3880,,43,44.4,548.2280,,44,45.2,486.9090,,43,44.7,719.0520,,44,44.6,533.4050,,42,44.2,770.2020,,43,44.4,842.9360
aim711,,100,105.2,36.4790,,47,49.1,217.3000,,47,48.3,339.0220,,48,48.3,433.9940,,45,47.9,522.9860,,45,47.8,549.0840,,46,47.7,539.2220,,46,47.1,792.9940,,45,47.7,558.1310,,46,47.6,572.4820,,45,47.1,788.2540
aki3068net,,98,104.0,31.6090,,47,48.5,235.3100,,48,48.7,281.3950,,47,47.9,457.7200,,44,47.0,545.3050,,44,46.9,585.2690,,45,47.3,531.1350,,44,46.5,682.7320,,45,47.4,564.1090,,44,47.0,751.6550,,45,47.2,765.0950
am31_sim,,88,92.9,31.5890,,43,44.6,218.5830,,43,44.5,270.8540,,42,43.5,352.0270,,43,44.1,340.4410,,42,43.1,389.0550,,42,44.0,410.6100,,41,43.2,582.6900,,42,43.6,434.7650,,42,43.5,619.7810,,41,43.7,544.0670
