Instances,,,AutoCCAG (using SamplingCA as its initialization algorithm),,,,AutoCCAG (using its original initialization algorithm),,,,FastCA (using SamplingCA as its initialization algorithm),,,,FastCA (using its original initialization algorithm),,,,TCA (using SamplingCA as its initialization algorithm),,,,TCA (using its original initialization algorithm),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,19,21.5,321.0540,,23,24.6,501.0600,,20,21.5,457.0330,,23,24.1,525.7340,,22,25.6,0.6300,,27,28.3,57.4950
XSEngine,,86,89.5,236.1800,,162,172.6,1844.7590,,87,89.4,118.5870,,164,173.8,1444.0620,,98,101.1,41.0800,,201,215.3,919.9780
aaed2000,,116,120.8,534.5150,,221,229.8,2573.4330,,116,121.1,728.9980,,222,229.6,3183.1760,,133,136.9,50.6760,,267,272.0,1857.9460
adder,,90,91.8,83.0660,,169,193.0,1490.6120,,90,92.2,459.8550,,170,194.1,1184.8230,,98,102.1,38.3850,,215,234.8,981.1840
adderII,,86,91.1,327.6470,,173,182.4,1658.1320,,86,91.5,418.4870,,171,182.2,1365.9840,,97,101.6,42.5560,,204,217.4,939.9170
aeb,,83,87.0,563.1170,,164,173.4,1190.6030,,82,86.7,486.5990,,163,173.3,1169.2000,,95,98.7,34.5280,,206,210.4,827.9510
aim711,,90,92.8,260.2170,,177,188.9,1831.8510,,89,92.4,367.2020,,177,189.6,1429.9620,,99,104.3,40.6070,,216,224.6,963.9550
aki3068net,,83,88.8,283.1870,,179,185.6,1681.1080,,82,89.4,144.7270,,178,186.1,1418.1220,,95,101.8,37.5310,,209,222.7,832.3790
am31_sim,,78,80.4,878.3010,,141,152.6,1514.3080,,78,80.8,119.6360,,140,152.9,1013.2280,,90,93.7,32.0230,,168,186.4,696.8030
asb,,83,85.2,321.4040,,158,164.0,1648.2080,,82,84.8,298.8540,,158,165.0,1314.5060,,93,97.9,36.5730,,184,199.0,849.8610
asb2305,,79,83.6,46.6890,,152,162.1,1524.1810,,80,84.2,304.1910,,152,163.3,1360.0230,,92,96.5,37.8100,,186,198.8,850.8670
assabet,,86,89.1,443.9000,,165,174.3,1600.9570,,88,89.0,529.2810,,166,174.8,1615.2000,,94,101.0,37.3480,,199,213.9,947.9610
at91sam7sek,,84,86.1,57.5810,,160,170.7,1444.4380,,83,86.1,420.5660,,160,171.4,1351.7890,,92,97.7,40.9840,,198,205.4,963.1500
at91sam7xek,,84,92.9,599.2800,,173,184.0,1189.9140,,86,92.9,165.5050,,172,183.9,1401.1340,,98,103.5,41.7430,,206,225.2,1089.2740
atlas_mips32_4kc,,86,90.3,337.9970,,170,181.5,1179.0570,,87,90.8,148.2560,,172,182.6,1108.9990,,99,103.4,36.0900,,210,221.4,849.0270
atlas_mips64_5kc,,85,88.9,388.1180,,173,183.9,1210.8810,,84,88.6,211.7210,,175,183.6,1118.1910,,97,100.6,35.8890,,211,218.0,837.1280
axtls,,30,31.9,227.5940,,36,38.9,1943.3330,,30,31.6,445.0440,,36,38.5,696.3760,,31,33.3,0.0800,,35,38.6,354.7070
brutus,,80,83.7,730.0690,,162,167.7,1399.9480,,80,83.5,305.7210,,162,168.3,1191.9210,,91,94.8,34.9260,,194,202.9,844.5170
buildroot,,15,15.0,6.8950,,15,15.0,69.2050,,15,15.4,1376.5990,,15,15.4,941.8080,,15,15.0,20.9910,,15,15.0,127.6480
